학년,학교,성별,자세 세부 유형,자세 불균형 상태,자세 불균형 개수 (개),목,어깨,허리,엉덩,무릎,발목,자세 등급
4학년,초등학교,남자,굽은등 자세 위험군,Lv 1 예방 유지 단계,14,93,94,58,58,100,78,1
4학년,초등학교,여자,굽은등 자세,Lv 2 적극 재활 단계,17,90,48,44,44,75,100,2
4학년,초등학교,남자,굽은등 자세 위험군,Lv 2 적극 재활 단계,23,93,68,41,41,83,85,2
4학년,초등학교,남자,굽은등 자세 위험군,Lv 2 적극 재활 단계,14,100,30,78,78,98,73,2
4학년,초등학교,남자,굽은등 자세 위험군,Lv 2 적극 재활 단계,18,100,89,40,40,69,96,2
4학년,초등학교,남자,굽은등 자세 위험군,Lv 1 예방 유지 단계,15,95,67,77,77,97,91,1
4학년,초등학교,남자,거북목 자세 위험군,Lv 1 예방 유지 단계,18,100,49,95,95,99,62,1
4학년,초등학교,남자,굽은등 자세 위험군,Lv 2 적극 재활 단계,17,100,65,68,68,93,79,2
4학년,초등학교,남자,O다리 / X다리 위험군,Lv 2 적극 재활 단계,23,94,72,74,74,85,63,2
4학년,초등학교,여자,거북목 자세 위험군,Lv 1 예방 유지 단계,16,100,55,86,86,96,77,1
4학년,초등학교,여자,굽은등 자세 위험군,Lv 2 적극 재활 단계,19,92,53,79,79,78,75,2
5학년,초등학교,남자,굽은등 자세,Lv 2 적극 재활 단계,18,93,35,56,56,93,69,2
5학년,초등학교,여자,굽은등 자세,Lv 2 적극 재활 단계,12,100,79,40,40,64,76,2
5학년,초등학교,남자,O다리 / X다리 위험군,Lv 1 예방 유지 단계,17,100,66,90,90,81,81,1
5학년,초등학교,남자,굽은등 자세,Lv 2 적극 재활 단계,23,86,29,36,36,96,68,2
5학년,초등학교,여자,굽은등 자세 위험군,Lv 1 예방 유지 단계,14,82,65,87,87,100,86,1
5학년,초등학교,남자,거북목 자세 위험군,Lv 1 예방 유지 단계,19,95,78,89,89,92,88,1
5학년,초등학교,여자,굽은등 자세 위험군,Lv 1 예방 유지 단계,12,100,96,71,71,99,87,1
6학년,초등학교,여자,거북목 자세 위험군,Lv 1 예방 유지 단계,17,88,59,96,96,82,81,1
6학년,초등학교,남자,굽은등 자세 위험군,Lv 1 예방 유지 단계,21,93,66,83,83,85,88,1
6학년,초등학교,남자,굽은등 자세,Lv 2 적극 재활 단계,17,97,43,59,59,85,86,2
6학년,초등학교,남자,굽은등 자세,Lv 2 적극 재활 단계,16,100,50,52,52,89,83,2
6학년,초등학교,남자,거북목 자세 위험군,Lv 1 예방 유지 단계,17,88,51,95,95,83,83,1
6학년,초등학교,여자,거북목 자세 위험군,Lv 1 예방 유지 단계,17,100,73,96,96,95,93,1
6학년,초등학교,여자,거북목 자세 위험군,Lv 1 예방 유지 단계,15,100,66,97,97,76,71,1
4학년,초등학교,여자,굽은등 자세,Lv 2 적극 재활 단계,17,100,61,37,37,73,97,2
4학년,초등학교,여자,굽은등 자세,Lv 2 적극 재활 단계,18,100,45,38,38,61,77,2
4학년,초등학교,여자,굽은등 자세 위험군,Lv 1 예방 유지 단계,10,100,53,87,87,100,78,1
4학년,초등학교,여자,굽은등 자세 위험군,Lv 1 예방 유지 단계,14,93,75,95,95,96,92,1
4학년,초등학교,남자,거북목 자세 위험군,Lv 1 예방 유지 단계,15,78,85,89,89,96,87,1
4학년,초등학교,남자,굽은등 자세,Lv 2 적극 재활 단계,16,90,62,51,51,88,87,2
4학년,초등학교,남자,굽은등 자세,Lv 2 적극 재활 단계,19,79,60,60,60,94,87,2
4학년,초등학교,여자,굽은등 자세,Lv 2 적극 재활 단계,20,89,65,49,49,51,82,2
4학년,초등학교,여자,굽은등 자세 위험군,Lv 2 적극 재활 단계,19,73,24,78,78,97,89,2
4학년,초등학교,남자,거북목 자세 위험군,Lv 2 적극 재활 단계,20,92,50,91,91,51,52,2
4학년,초등학교,여자,굽은등 자세,Lv 2 적극 재활 단계,19,94,48,46,46,68,96,2
4학년,초등학교,남자,굽은등 자세,Lv 2 적극 재활 단계,15,100,45,46,46,92,84,2
4학년,초등학교,여자,굽은등 자세 위험군,Lv 1 예방 유지 단계,15,67,88,89,89,97,96,1
4학년,초등학교,남자,굽은등 자세,Lv 2 적극 재활 단계,12,100,46,53,53,93,90,2
4학년,초등학교,남자,굽은등 자세 위험군,Lv 2 적극 재활 단계,20,92,61,59,59,83,50,2
4학년,초등학교,남자,굽은등 자세 위험군,Lv 1 예방 유지 단계,16,100,41,81,81,97,83,1
4학년,초등학교,여자,거북목 자세 위험군,Lv 1 예방 유지 단계,11,100,35,99,99,94,76,1
4학년,초등학교,남자,거북목 자세 위험군,Lv 1 예방 유지 단계,13,100,86,85,85,93,94,1
4학년,초등학교,남자,굽은등 자세 위험군,Lv 2 적극 재활 단계,12,100,43,67,67,92,83,2
4학년,초등학교,남자,O다리 / X다리 위험군,Lv 1 예방 유지 단계,14,88,75,91,91,94,100,1
4학년,초등학교,여자,굽은등 자세 위험군,Lv 2 적극 재활 단계,13,100,38,70,70,93,85,2
4학년,초등학교,여자,굽은등 자세 위험군,Lv 2 적극 재활 단계,16,99,71,40,40,70,95,2
4학년,초등학교,여자,굽은등 자세,Lv 2 적극 재활 단계,16,100,66,53,53,98,68,2
4학년,초등학교,여자,굽은등 자세,Lv 2 적극 재활 단계,14,100,56,40,40,62,97,2
4학년,초등학교,남자,굽은등 자세 위험군,Lv 2 적극 재활 단계,15,100,35,80,80,70,63,2
4학년,초등학교,여자,굽은등 자세,Lv 2 적극 재활 단계,14,100,52,48,48,92,82,2
4학년,초등학교,여자,거북목 자세 위험군,Lv 1 예방 유지 단계,17,90,75,83,83,90,69,1
4학년,초등학교,여자,거북목 자세 위험군,Lv 2 적극 재활 단계,12,100,40,96,96,71,59,2
4학년,초등학교,남자,굽은등 자세 위험군,Lv 2 적극 재활 단계,16,100,75,53,53,86,83,2
4학년,초등학교,남자,굽은등 자세,Lv 2 적극 재활 단계,14,100,29,57,57,77,92,2
4학년,초등학교,여자,굽은등 자세,Lv 2 적극 재활 단계,19,98,53,47,47,81,88,2
4학년,초등학교,남자,굽은등 자세 위험군,Lv 1 예방 유지 단계,18,100,77,76,76,97,86,1
4학년,초등학교,여자,굽은등 자세,Lv 2 적극 재활 단계,16,100,60,62,62,91,96,2
4학년,초등학교,여자,굽은등 자세,Lv 2 적극 재활 단계,18,100,51,52,52,87,79,2
4학년,초등학교,남자,굽은등 자세 위험군,Lv 1 예방 유지 단계,15,94,91,66,66,96,77,1
4학년,초등학교,남자,거북목 자세 위험군,Lv 1 예방 유지 단계,16,87,62,94,94,95,71,1
4학년,초등학교,남자,굽은등 자세 위험군,Lv 1 예방 유지 단계,19,99,73,79,79,90,86,1
4학년,초등학교,남자,굽은등 자세,Lv 2 적극 재활 단계,18,99,42,38,38,80,83,2
4학년,초등학교,남자,굽은등 자세 위험군,Lv 2 적극 재활 단계,13,100,70,69,69,97,64,2
4학년,초등학교,여자,굽은등 자세 위험군,Lv 1 예방 유지 단계,17,100,74,69,69,93,95,1
4학년,초등학교,여자,굽은등 자세 위험군,Lv 2 적극 재활 단계,13,100,76,60,60,80,96,2
4학년,초등학교,여자,굽은등 자세 위험군,Lv 2 적극 재활 단계,13,100,67,43,43,94,80,2
4학년,초등학교,남자,굽은등 자세 위험군,Lv 2 적극 재활 단계,15,100,29,72,72,95,74,2
4학년,초등학교,남자,굽은등 자세 위험군,Lv 2 적극 재활 단계,15,87,44,63,63,63,89,2
4학년,초등학교,남자,굽은등 자세 위험군,Lv 2 적극 재활 단계,12,100,90,42,42,99,64,2
4학년,초등학교,여자,거북목 자세 위험군,Lv 1 예방 유지 단계,13,100,63,79,79,93,76,1
4학년,초등학교,남자,거북목 자세 위험군,Lv 2 적극 재활 단계,14,100,44,84,84,56,50,2
4학년,초등학교,여자,굽은등 자세 위험군,Lv 2 적극 재활 단계,15,62,68,45,45,92,90,2
4학년,초등학교,남자,굽은등 자세 위험군,Lv 2 적극 재활 단계,14,99,59,87,87,78,67,2
4학년,초등학교,남자,굽은등 자세 위험군,Lv 2 적극 재활 단계,13,100,43,79,79,96,80,2
4학년,초등학교,남자,굽은등 자세 위험군,Lv 2 적극 재활 단계,13,100,68,61,61,100,77,2
4학년,초등학교,여자,굽은등 자세 위험군,Lv 2 적극 재활 단계,16,77,59,74,74,99,97,2
4학년,초등학교,여자,굽은등 자세,Lv 2 적극 재활 단계,11,95,43,69,69,89,95,2
4학년,초등학교,남자,거북목 자세 위험군,Lv 2 적극 재활 단계,16,100,30,97,97,67,65,2
4학년,초등학교,남자,굽은등 자세,Lv 2 적극 재활 단계,17,100,52,49,49,75,96,2
4학년,초등학교,여자,거북목 자세 위험군,Lv 1 예방 유지 단계,12,100,57,86,86,100,94,1
4학년,초등학교,여자,굽은등 자세 위험군,Lv 2 적극 재활 단계,13,89,74,59,59,73,95,2
4학년,초등학교,남자,굽은등 자세,Lv 2 적극 재활 단계,14,99,41,58,58,80,94,2
4학년,초등학교,남자,굽은등 자세 위험군,Lv 2 적극 재활 단계,14,100,35,79,79,96,89,2
4학년,초등학교,남자,굽은등 자세,Lv 2 적극 재활 단계,12,100,59,65,65,99,89,2
4학년,초등학교,여자,굽은등 자세,Lv 2 적극 재활 단계,14,65,55,42,42,97,81,2
4학년,초등학교,남자,굽은등 자세,Lv 2 적극 재활 단계,19,90,51,53,53,96,77,2
4학년,초등학교,여자,굽은등 자세,Lv 2 적극 재활 단계,17,96,28,59,59,78,84,2
4학년,초등학교,여자,굽은등 자세 위험군,Lv 1 예방 유지 단계,12,100,80,75,75,100,83,1
4학년,초등학교,여자,O다리 / X다리 위험군,Lv 1 예방 유지 단계,11,100,77,77,77,86,95,1
4학년,초등학교,여자,O다리 / X다리 위험군,Lv 1 예방 유지 단계,16,100,92,92,92,93,92,1
4학년,초등학교,여자,거북목 자세 위험군,Lv 1 예방 유지 단계,13,98,63,88,88,96,79,1
4학년,초등학교,여자,굽은등 자세 위험군,Lv 2 적극 재활 단계,20,95,86,42,42,80,92,2
4학년,초등학교,여자,거북목 자세 위험군,Lv 1 예방 유지 단계,12,100,66,93,93,97,84,1
4학년,초등학교,남자,굽은등 자세,Lv 2 적극 재활 단계,23,89,49,60,60,91,83,2
4학년,초등학교,남자,굽은등 자세 위험군,Lv 2 적극 재활 단계,18,84,67,35,35,49,96,2
4학년,초등학교,여자,거북목 자세 위험군,Lv 1 예방 유지 단계,14,98,59,93,93,89,74,1
4학년,초등학교,남자,굽은등 자세 위험군,Lv 2 적극 재활 단계,20,100,73,63,63,97,68,2
4학년,초등학교,남자,굽은등 자세,Lv 2 적극 재활 단계,14,100,44,54,54,86,90,2
4학년,초등학교,남자,굽은등 자세 위험군,Lv 2 적극 재활 단계,15,100,68,53,53,76,88,2
4학년,초등학교,여자,굽은등 자세,Lv 2 적극 재활 단계,14,100,35,46,46,94,80,2
4학년,초등학교,남자,거북목 자세 위험군,Lv 1 예방 유지 단계,14,86,63,85,85,94,94,1
4학년,초등학교,남자,굽은등 자세,Lv 2 적극 재활 단계,14,100,48,44,44,92,73,2
4학년,초등학교,남자,굽은등 자세 위험군,Lv 2 적극 재활 단계,20,89,25,84,84,85,76,2
4학년,초등학교,여자,거북목 자세 위험군,Lv 1 예방 유지 단계,10,100,98,95,95,94,91,1
4학년,초등학교,남자,굽은등 자세,Lv 2 적극 재활 단계,16,97,59,39,39,58,89,2
4학년,초등학교,여자,굽은등 자세 위험군,Lv 1 예방 유지 단계,13,100,81,73,73,81,95,1
4학년,초등학교,여자,굽은등 자세 위험군,Lv 1 예방 유지 단계,13,84,79,81,81,100,84,1
4학년,초등학교,여자,굽은등 자세 위험군,Lv 1 예방 유지 단계,12,100,37,92,92,99,91,1
4학년,초등학교,여자,굽은등 자세 위험군,Lv 2 적극 재활 단계,21,87,56,75,75,99,83,2
4학년,초등학교,남자,굽은등 자세 위험군,Lv 2 적극 재활 단계,14,100,66,37,37,63,99,2
4학년,초등학교,남자,굽은등 자세 위험군,Lv 2 적극 재활 단계,15,100,71,42,42,69,90,2
4학년,초등학교,여자,거북목 자세 위험군,Lv 1 예방 유지 단계,22,100,79,93,93,65,73,1
4학년,초등학교,남자,굽은등 자세,Lv 2 적극 재활 단계,17,91,49,56,56,76,92,2
4학년,초등학교,남자,굽은등 자세 위험군,Lv 2 적극 재활 단계,18,100,71,58,58,98,68,2
4학년,초등학교,여자,굽은등 자세 위험군,Lv 1 예방 유지 단계,16,100,47,77,77,99,81,1
4학년,초등학교,남자,굽은등 자세,Lv 2 적극 재활 단계,13,100,33,53,53,82,88,2
4학년,초등학교,남자,거북목 자세 위험군,Lv 1 예방 유지 단계,13,100,35,98,98,94,81,1
4학년,초등학교,남자,거북목 자세 위험군,Lv 1 예방 유지 단계,18,100,43,93,93,92,78,1
4학년,초등학교,여자,거북목 자세 위험군,Lv 2 적극 재활 단계,16,100,59,97,97,37,50,2
4학년,초등학교,여자,굽은등 자세 위험군,Lv 2 적극 재활 단계,11,100,51,70,70,100,78,2
4학년,초등학교,남자,굽은등 자세 위험군,Lv 1 예방 유지 단계,16,89,47,78,78,98,93,1
4학년,초등학교,남자,굽은등 자세,Lv 2 적극 재활 단계,12,100,53,40,40,46,96,2
4학년,초등학교,남자,굽은등 자세,Lv 2 적극 재활 단계,17,93,40,48,48,53,97,2
4학년,초등학교,남자,굽은등 자세 위험군,Lv 2 적극 재활 단계,15,73,54,79,79,92,96,2
4학년,초등학교,여자,굽은등 자세 위험군,Lv 2 적극 재활 단계,16,100,85,48,48,98,70,2
4학년,초등학교,남자,굽은등 자세 위험군,Lv 2 적극 재활 단계,16,100,67,53,53,93,75,2
4학년,초등학교,여자,굽은등 자세,Lv 2 적극 재활 단계,16,100,60,51,51,89,83,2
4학년,초등학교,남자,굽은등 자세 위험군,Lv 2 적극 재활 단계,14,88,75,52,52,93,88,2
4학년,초등학교,여자,굽은등 자세,Lv 2 적극 재활 단계,12,100,36,52,52,75,92,2
4학년,초등학교,남자,굽은등 자세 위험군,Lv 1 예방 유지 단계,10,100,44,87,87,100,82,1
5학년,초등학교,남자,거북목 자세 위험군,Lv 2 적극 재활 단계,18,59,33,98,98,93,50,2
5학년,초등학교,남자,굽은등 자세 위험군,Lv 2 적극 재활 단계,12,76,55,68,68,79,88,2
5학년,초등학교,남자,굽은등 자세 위험군,Lv 1 예방 유지 단계,13,100,30,93,93,98,73,1
5학년,초등학교,남자,굽은등 자세,Lv 2 적극 재활 단계,17,100,66,44,44,98,78,2
5학년,초등학교,남자,거북목 자세 위험군,Lv 1 예방 유지 단계,9,87,81,100,100,76,75,1
5학년,초등학교,남자,거북목 자세 위험군,Lv 1 예방 유지 단계,16,93,56,100,100,94,78,1
5학년,초등학교,남자,굽은등 자세,Lv 2 적극 재활 단계,12,100,59,39,39,79,89,2
5학년,초등학교,여자,굽은등 자세 위험군,Lv 2 적극 재활 단계,13,100,44,79,79,78,56,2
5학년,초등학교,여자,굽은등 자세 위험군,Lv 2 적극 재활 단계,15,100,64,39,39,65,88,2
5학년,초등학교,남자,거북목 자세 위험군,Lv 1 예방 유지 단계,14,100,57,91,91,98,86,1
5학년,초등학교,여자,거북목 자세 위험군,Lv 1 예방 유지 단계,13,90,31,92,92,99,80,1
5학년,초등학교,남자,굽은등 자세 위험군,Lv 2 적극 재활 단계,16,100,60,62,62,96,72,2
5학년,초등학교,여자,굽은등 자세 위험군,Lv 1 예방 유지 단계,14,75,79,71,71,96,97,1
5학년,초등학교,여자,거북목 자세 위험군,Lv 1 예방 유지 단계,15,79,63,99,99,98,97,1
5학년,초등학교,남자,굽은등 자세 위험군,Lv 1 예방 유지 단계,15,86,70,94,94,90,65,1
5학년,초등학교,남자,굽은등 자세 위험군,Lv 2 적극 재활 단계,15,100,43,66,66,97,67,2
5학년,초등학교,남자,거북목 자세 위험군,Lv 2 적극 재활 단계,18,82,58,76,76,99,78,2
5학년,초등학교,남자,굽은등 자세 위험군,Lv 2 적극 재활 단계,16,88,66,46,46,100,85,2
5학년,초등학교,여자,굽은등 자세 위험군,Lv 1 예방 유지 단계,12,86,81,72,72,99,89,1
5학년,초등학교,남자,굽은등 자세 위험군,Lv 1 예방 유지 단계,15,96,85,69,69,98,86,1
5학년,초등학교,여자,굽은등 자세 위험군,Lv 2 적극 재활 단계,16,73,66,63,63,86,96,2
5학년,초등학교,여자,굽은등 자세,Lv 2 적극 재활 단계,18,93,48,40,40,43,74,2
5학년,초등학교,남자,굽은등 자세 위험군,Lv 2 적극 재활 단계,14,99,34,79,79,96,72,2
5학년,초등학교,남자,굽은등 자세 위험군,Lv 1 예방 유지 단계,11,100,54,76,76,89,95,1
5학년,초등학교,여자,굽은등 자세,Lv 2 적극 재활 단계,12,100,52,51,51,99,81,2
5학년,초등학교,남자,굽은등 자세,Lv 2 적극 재활 단계,17,100,52,66,66,98,89,2
5학년,초등학교,여자,굽은등 자세,Lv 2 적극 재활 단계,13,100,35,53,53,89,91,2
5학년,초등학교,남자,굽은등 자세 위험군,Lv 1 예방 유지 단계,12,100,41,82,82,100,88,1
5학년,초등학교,여자,굽은등 자세 위험군,Lv 1 예방 유지 단계,17,95,55,79,79,81,92,1
5학년,초등학교,여자,거북목 자세 위험군,Lv 1 예방 유지 단계,12,87,63,90,90,100,90,1
5학년,초등학교,여자,굽은등 자세 위험군,Lv 1 예방 유지 단계,10,100,37,94,94,96,81,1
5학년,초등학교,남자,굽은등 자세 위험군,Lv 2 적극 재활 단계,19,83,63,63,63,89,87,2
5학년,초등학교,남자,굽은등 자세 위험군,Lv 1 예방 유지 단계,16,76,76,73,73,93,92,1
5학년,초등학교,남자,O다리 / X다리 위험군,Lv 1 예방 유지 단계,12,100,70,95,95,91,87,1
5학년,초등학교,남자,굽은등 자세,Lv 2 적극 재활 단계,12,71,45,72,72,94,78,2
5학년,초등학교,남자,거북목 자세 위험군,Lv 1 예방 유지 단계,13,99,67,83,83,95,83,1
5학년,초등학교,여자,굽은등 자세 위험군,Lv 2 적극 재활 단계,13,86,62,58,58,89,98,2
5학년,초등학교,여자,굽은등 자세 위험군,Lv 2 적극 재활 단계,18,87,90,43,43,79,99,2
5학년,초등학교,남자,굽은등 자세 위험군,Lv 1 예방 유지 단계,12,85,76,74,74,94,94,1
5학년,초등학교,남자,굽은등 자세 위험군,Lv 2 적극 재활 단계,18,94,56,46,46,77,89,2
5학년,초등학교,남자,굽은등 자세,Lv 2 적극 재활 단계,14,100,31,50,50,92,88,2
5학년,초등학교,여자,굽은등 자세,Lv 2 적극 재활 단계,14,95,63,60,60,86,76,2
5학년,초등학교,여자,굽은등 자세,Lv 2 적극 재활 단계,13,96,62,59,59,72,96,2
5학년,초등학교,남자,굽은등 자세 위험군,Lv 2 적극 재활 단계,14,100,41,73,73,100,82,2
5학년,초등학교,남자,굽은등 자세 위험군,Lv 2 적극 재활 단계,13,99,85,65,65,95,65,2
5학년,초등학교,여자,굽은등 자세,Lv 2 적극 재활 단계,18,96,51,57,57,88,92,2
5학년,초등학교,여자,거북목 자세 위험군,Lv 2 적극 재활 단계,18,100,57,95,95,56,56,2
5학년,초등학교,남자,굽은등 자세 위험군,Lv 1 예방 유지 단계,18,97,67,77,77,95,86,1
5학년,초등학교,여자,굽은등 자세 위험군,Lv 2 적극 재활 단계,18,89,35,66,66,92,82,2
5학년,초등학교,여자,굽은등 자세 위험군,Lv 1 예방 유지 단계,14,100,66,76,76,91,81,1
5학년,초등학교,남자,굽은등 자세,Lv 2 적극 재활 단계,15,100,55,38,38,55,89,2
5학년,초등학교,남자,굽은등 자세,Lv 2 적극 재활 단계,15,98,48,55,55,88,88,2
5학년,초등학교,남자,굽은등 자세 위험군,Lv 2 적극 재활 단계,18,81,63,74,74,91,69,2
5학년,초등학교,남자,굽은등 자세 위험군,Lv 2 적극 재활 단계,15,100,48,84,84,91,52,2
5학년,초등학교,남자,굽은등 자세 위험군,Lv 1 예방 유지 단계,14,100,51,79,79,99,79,1
5학년,초등학교,남자,굽은등 자세 위험군,Lv 2 적극 재활 단계,17,90,40,87,87,92,76,2
5학년,초등학교,남자,O다리 / X다리 위험군,Lv 1 예방 유지 단계,13,99,97,81,81,95,90,1
5학년,초등학교,남자,굽은등 자세 위험군,Lv 2 적극 재활 단계,12,100,57,64,64,100,81,2
5학년,초등학교,남자,거북목 자세 위험군,Lv 1 예방 유지 단계,11,100,67,99,99,92,93,1
5학년,초등학교,남자,거북목 자세 위험군,Lv 2 적극 재활 단계,15,92,36,91,91,81,62,2
5학년,초등학교,남자,굽은등 자세 위험군,Lv 1 예방 유지 단계,10,87,83,76,76,100,92,1
5학년,초등학교,여자,굽은등 자세 위험군,Lv 1 예방 유지 단계,15,96,72,72,72,89,97,1
5학년,초등학교,남자,굽은등 자세 위험군,Lv 1 예방 유지 단계,16,100,47,85,85,99,87,1
5학년,초등학교,여자,굽은등 자세 위험군,Lv 2 적극 재활 단계,13,100,56,61,61,94,86,2
5학년,초등학교,남자,굽은등 자세 위험군,Lv 2 적극 재활 단계,15,75,31,77,77,86,55,2
5학년,초등학교,여자,굽은등 자세,Lv 2 적극 재활 단계,10,100,53,62,62,87,98,2
5학년,초등학교,남자,굽은등 자세 위험군,Lv 1 예방 유지 단계,16,100,63,72,72,91,88,1
5학년,초등학교,여자,굽은등 자세 위험군,Lv 1 예방 유지 단계,12,100,57,76,76,91,97,1
5학년,초등학교,여자,굽은등 자세,Lv 2 적극 재활 단계,13,80,53,63,63,87,96,2
5학년,초등학교,남자,거북목 자세 위험군,Lv 1 예방 유지 단계,16,94,58,85,85,95,72,1
5학년,초등학교,여자,거북목 자세 위험군,Lv 2 적극 재활 단계,15,76,39,93,93,98,79,2
5학년,초등학교,남자,굽은등 자세 위험군,Lv 2 적극 재활 단계,19,98,64,69,69,80,84,2
5학년,초등학교,남자,굽은등 자세 위험군,Lv 2 적극 재활 단계,19,97,60,45,45,79,89,2
5학년,초등학교,남자,거북목 자세 위험군,Lv 1 예방 유지 단계,15,96,67,89,89,80,65,1
5학년,초등학교,여자,굽은등 자세,Lv 2 적극 재활 단계,16,85,41,43,43,80,86,2
5학년,초등학교,남자,거북목 자세 위험군,Lv 1 예방 유지 단계,12,100,48,97,97,99,93,1
5학년,초등학교,남자,굽은등 자세,Lv 2 적극 재활 단계,15,97,44,43,43,74,91,2
5학년,초등학교,남자,굽은등 자세,Lv 2 적극 재활 단계,15,80,30,53,53,97,60,2
5학년,초등학교,남자,굽은등 자세 위험군,Lv 2 적극 재활 단계,13,88,38,88,88,94,71,2
5학년,초등학교,남자,거북목 자세 위험군,Lv 2 적극 재활 단계,12,100,48,83,83,91,69,2
6학년,초등학교,남자,거북목 자세 위험군,Lv 2 적극 재활 단계,13,100,33,97,97,76,54,2
6학년,초등학교,남자,굽은등 자세 위험군,Lv 1 예방 유지 단계,16,100,36,89,89,97,76,1
6학년,초등학교,여자,거북목 자세 위험군,Lv 1 예방 유지 단계,13,76,53,86,86,100,88,1
6학년,초등학교,남자,굽은등 자세,Lv 2 적극 재활 단계,14,94,41,55,55,80,96,2
6학년,초등학교,남자,거북목 자세 위험군,Lv 2 적극 재활 단계,14,90,33,98,98,67,54,2
6학년,초등학교,여자,거북목 자세 위험군,Lv 1 예방 유지 단계,13,100,51,91,91,91,75,1
6학년,초등학교,여자,굽은등 자세 위험군,Lv 2 적극 재활 단계,11,87,35,83,83,100,82,2
6학년,초등학교,여자,굽은등 자세 위험군,Lv 2 적극 재활 단계,16,96,33,74,74,78,53,2
6학년,초등학교,여자,거북목 자세 위험군,Lv 1 예방 유지 단계,12,90,67,100,100,98,92,1
6학년,초등학교,남자,거북목 자세 위험군,Lv 1 예방 유지 단계,11,100,58,89,89,98,77,1
6학년,초등학교,남자,굽은등 자세 위험군,Lv 1 예방 유지 단계,16,100,45,84,84,98,75,1
6학년,초등학교,여자,거북목 자세 위험군,Lv 1 예방 유지 단계,11,90,30,94,94,98,78,1
6학년,초등학교,여자,굽은등 자세,Lv 2 적극 재활 단계,19,100,64,34,34,47,93,2
6학년,초등학교,여자,굽은등 자세 위험군,Lv 1 예방 유지 단계,12,100,50,99,99,100,93,1
6학년,초등학교,여자,거북목 자세 위험군,Lv 2 적극 재활 단계,14,95,60,94,94,55,57,2
6학년,초등학교,남자,굽은등 자세,Lv 2 적극 재활 단계,16,79,33,69,69,97,59,2
6학년,초등학교,남자,O다리 / X다리 위험군,Lv 1 예방 유지 단계,16,94,77,97,97,79,74,1
6학년,초등학교,여자,굽은등 자세 위험군,Lv 2 적극 재활 단계,20,100,33,61,61,96,84,2
6학년,초등학교,남자,거북목 자세 위험군,Lv 2 적극 재활 단계,19,99,90,92,92,48,51,2
6학년,초등학교,여자,거북목 자세 위험군,Lv 2 적극 재활 단계,17,85,34,99,99,47,39,2
6학년,초등학교,남자,거북목 자세 위험군,Lv 2 적극 재활 단계,16,100,47,84,84,100,62,2
6학년,초등학교,여자,거북목 자세 위험군,Lv 1 예방 유지 단계,10,67,60,92,92,100,98,1
6학년,초등학교,여자,굽은등 자세 위험군,Lv 2 적극 재활 단계,13,81,76,59,59,100,81,2
6학년,초등학교,남자,굽은등 자세 위험군,Lv 2 적극 재활 단계,17,98,53,74,74,89,90,2
6학년,초등학교,여자,어깨 오른쪽 높음,Lv 1 예방 유지 단계,14,100,96,76,76,100,94,1
6학년,초등학교,여자,굽은등 자세,Lv 2 적극 재활 단계,12,100,51,50,50,92,85,2
6학년,초등학교,여자,굽은등 자세 위험군,Lv 2 적극 재활 단계,14,100,66,63,63,100,85,2
6학년,초등학교,여자,거북목 자세 위험군,Lv 2 적극 재활 단계,17,100,63,81,81,58,50,2
6학년,초등학교,여자,굽은등 자세 위험군,Lv 2 적극 재활 단계,17,83,79,62,62,85,96,2
6학년,초등학교,여자,거북목 자세 위험군,Lv 2 적극 재활 단계,20,90,51,77,77,48,54,2
6학년,초등학교,남자,굽은등 자세 위험군,Lv 2 적극 재활 단계,16,100,27,75,75,88,100,2
6학년,초등학교,남자,굽은등 자세 위험군,Lv 2 적극 재활 단계,18,100,76,38,38,73,96,2
6학년,초등학교,남자,굽은등 자세,Lv 2 적극 재활 단계,14,92,50,35,35,45,88,2
6학년,초등학교,남자,굽은등 자세 위험군,Lv 2 적극 재활 단계,13,99,42,88,88,100,51,2
6학년,초등학교,남자,거북목 자세 위험군,Lv 1 예방 유지 단계,12,100,68,91,91,98,71,1
6학년,초등학교,남자,굽은등 자세 위험군,Lv 1 예방 유지 단계,15,100,61,72,72,91,91,1
6학년,초등학교,여자,거북목 자세 위험군,Lv 1 예방 유지 단계,11,92,42,98,98,94,73,1
6학년,초등학교,여자,굽은등 자세,Lv 2 적극 재활 단계,12,97,57,44,44,90,90,2
6학년,초등학교,여자,굽은등 자세 위험군,Lv 2 적극 재활 단계,16,88,60,71,71,100,67,2
6학년,초등학교,여자,굽은등 자세 위험군,Lv 2 적극 재활 단계,12,79,63,69,69,99,94,2
6학년,초등학교,남자,굽은등 자세,Lv 2 적극 재활 단계,15,92,35,49,49,80,85,2
6학년,초등학교,여자,굽은등 자세,Lv 2 적극 재활 단계,13,100,47,42,42,73,90,2
6학년,초등학교,여자,굽은등 자세 위험군,Lv 2 적극 재활 단계,13,96,59,56,56,100,73,2
6학년,초등학교,여자,거북목 자세 위험군,Lv 2 적극 재활 단계,16,82,41,86,86,83,63,2
6학년,초등학교,여자,거북목 자세 위험군,Lv 2 적극 재활 단계,18,90,28,88,88,54,50,2
6학년,초등학교,여자,굽은등 자세 위험군,Lv 1 예방 유지 단계,16,99,88,80,80,93,90,1
6학년,초등학교,남자,굽은등 자세,Lv 2 적극 재활 단계,18,84,29,64,64,69,86,2
6학년,초등학교,여자,굽은등 자세 위험군,Lv 2 적극 재활 단계,16,83,67,67,67,98,71,2
